USRID	RST
92595	0.012201855
4572	0.012107211
64470	0.020327486
68958	0.04077358
8839	0.007931475
15106	0.010381825
28227	0.01169301
76977	0.026585005
87072	0.03996075
40428	0.017134259
88271	0.017134259
46501	0.061793376
83325	0.05053118
66548	0.017114818
20169	0.01024104
72567	0.013611991
15100	0.1608931
88834	0.018817244
43478	0.19405381
50283	0.08986154
54729	0.048556924
51280	0.015448916
5185	0.17626625
29181	0.15872657
36725	0.024786983
6332	0.044413693
43184	0.014056871
43492	0.010756512
78130	0.108851366
39970	0.040534064
26707	0.014056871
95747	0.014056871
32000	0.09875177
29563	0.016150646
1214	0.028906496
95532	0.012428612
30997	0.01373416
41483	0.008877018
91485	0.015491126
34268	0.02104407
68362	0.011237814
51303	0.0109653305
23150	0.029357996
72173	0.014330226
78361	0.019313518
14681	0.056120045
54870	0.012598864
78692	0.028941453
82177	0.019643944
91667	0.0133163165
97707	0.06625884
33785	0.018360801
40002	0.081364386
68601	0.019369997
69208	0.05592814
20045	0.06392309
35513	0.08171631
32488	0.11517346
92264	0.016123254
97315	0.016123254
97138	0.013274413
56741	0.15249151
56468	0.05359849
30377	0.010721559
75689	0.016171942
5138	0.009545869
85578	0.017280066
55380	0.016171942
3580	0.016436122
10591	0.37671995
88829	0.041074425
70378	0.008137984
90	0.043879595
93750	0.0053385114
65453	0.0039744815
61737	0.01261587
28911	0.0075630625
92138	0.012805658
10685	0.27744478
33571	0.0055093053
49343	0.020940712
4517	0.0045739664
53438	0.01013188
99859	0.19651733
32053	0.009105825
16232	0.042706553
22891	0.007534145
74363	0.02269828
94834	0.08006221
65943	0.006179704
13210	0.015095574
68229	0.007548598
48566	0.013574684
65898	0.061862644
30761	0.008040898
16577	0.053595725
2199	0.00427959
48444	0.0054957415
6383	0.0064428994
25720	0.487566
48748	0.15125707
32834	0.01964797
95341	0.03136606
11303	0.041269865
93680	0.17019697
75640	0.015931865
21824	0.0035280574
87863	0.016667578
91529	0.006637911
83492	0.014598545
31268	0.007316726
29456	0.006356456
9701	0.005821502
65824	0.04106344
36430	0.0060671847
79898	0.0712056
45378	0.007060652
78550	0.019747077
36893	0.005966434
75895	0.0032766073
88606	0.015038378
7950	0.0036419637
8	0.011766349
83536	0.008772203
12369	0.004042053
75596	0.0057793316
41788	0.008084816
80986	0.026806096
13796	0.029542819
90765	0.052806318
33061	0.011842854
40589	0.13942531
48944	0.0063055623
60974	0.17111756
25143	0.010239584
49038	0.3673277
11531	0.004579747
69194	0.006913646
96410	0.017219191
37292	0.05522629
11498	0.0057221185
21027	0.018068245
43287	0.021994831
35842	0.008335128
70508	0.016646124
58516	0.010323221
7429	0.0053739697
48060	0.025775027
76002	0.015764136
36240	0.11952837
82972	0.087515146
70829	0.02632472
77370	0.051882174
79159	0.011819551
99917	0.026441546
96415	0.009356337
64747	0.14572078
59205	0.003929589
42001	0.017574314
94042	0.0036732664
67719	0.010778094
36941	0.023915641
19611	0.035511065
53929	0.0036190588
64935	0.0132626435
62928	0.011637347
44644	0.0057748836
2165	0.008138004
2750	0.0036177626
35075	0.05667265
68184	0.015435506
92660	0.052467715
48242	0.025988119
41021	0.32280812
56158	0.5320092
36729	0.021892322
53368	0.04455695
16696	0.010327187
39160	0.009575309
57162	0.01769651
94709	0.019383682
99444	0.056578305
65067	0.019142142
76859	0.010545075
46875	0.0094925165
82437	0.010101791
11550	0.0069178934
69406	0.037489764
48770	0.22220108
77105	0.0144302985
65668	0.005607547
51565	0.040060908
12791	0.01208673
56302	0.048022684
10490	0.07903383
77007	0.0053034616
37917	0.04103671
60045	0.041500457
29380	0.06892262
73443	0.024416966
94660	0.021748673
71287	0.006243164
31758	0.01675419
94922	0.020796506
28389	0.0120240385
21535	0.1555607
35849	0.03789361
9438	0.00474201
49102	0.007874538
26352	0.007927775
90045	0.029005645
13997	0.0044112043
11701	0.012950409
3029	0.36190763
62771	0.00463967
96766	0.0038382479
38961	0.004367061
66825	0.0050218436
61841	0.005633464
96999	0.021581702
22004	0.007245402
89338	0.028187215
88454	0.041393083
61027	0.9136339
94073	0.004026819
28952	0.006465732
76570	0.006280735
11870	0.008931613
666	0.0028019806
11447	0.018404594
68500	0.0044538123
42725	0.018300189
2543	0.005827624
74224	0.0051631685
98754	0.0071150893
39649	0.0028358044
49388	0.020372527
24189	0.018805888
28125	0.008118133
82672	0.047234047
4920	0.0075985556
11279	0.06549605
55377	0.0077261743
1578	0.014625356
28142	0.02067489
38316	0.020867247
84178	0.004431598
82948	0.01939696
32878	0.017463237
97672	0.0046101585
17401	0.007497487
40185	0.32275978
68573	0.05555841
33759	0.013185015
87859	0.019983107
35348	0.16743381
58823	0.010727447
10805	0.004776811
276	0.32974514
19071	0.008576492
69525	0.01838255
85647	0.0061908746
52284	0.0053124544
62370	0.07745421
50710	0.0078719165
15052	0.02758947
33517	0.019232402
74276	0.0075609256
69046	0.0029813899
57857	0.011975804
23401	0.057306994
36386	0.007749727
19019	0.010790093
93592	0.011875806
47237	0.03323954
99282	0.019986898
93754	0.03473113
72982	0.012365462
92702	0.035413906
47398	0.024064396
78479	0.019519832
53265	0.27251855
41455	0.00430994
97618	0.0056539215
17163	0.009659563
57297	0.0043934337
87784	0.016618166
26658	0.0043846155
4089	0.014542261
66227	0.023968806
88839	0.034934178
61795	0.0033791936
65485	0.014693268
21787	0.042665925
25219	0.0052943057
43685	0.0046724593
29039	0.025711246
36191	0.008349677
97459	0.05981211
98820	0.017031405
93251	0.0059075733
539	0.036736168
4435	0.01884512
40245	0.032102536
58111	0.025024485
9218	0.017607417
70372	0.025714306
67809	0.006924219
29922	0.017068526
48607	0.015374982
93044	0.40323296
57015	0.029005302
65894	0.02192903
63690	0.02326787
99644	0.027958099
40069	0.00397061
319	0.08655224
80159	0.012713955
64501	0.15241998
74750	0.013863647
46675	0.02442509
52836	0.005789689
13769	0.0060637067
47012	0.0062308046
89057	0.030570002
41132	0.0054021557
84414	0.011483716
38313	0.009880341
13734	0.01298927
94064	0.04340608
18380	0.019056367
73316	0.010167191
19126	0.008390168
93353	0.0041332752
54085	0.060445778
15633	0.011252479
3640	0.0050868667
75967	0.004943459
11451	0.02808408
83560	0.33697775
8386	0.00865546
39943	0.04155733
49177	0.034325134
43971	0.005057248
56085	0.0018494988
72601	0.025815655
71492	0.01094834
71363	0.016847994
39632	0.026846562
29980	0.0043964693
26247	0.0035497248
16685	0.006701304
13334	0.0068893046
29338	0.0051675374
68455	0.031190446
87575	0.01451485
16255	0.026471125
12931	0.064618856
42811	0.0060353954
76215	0.010175606
16194	0.017465267
47558	0.0093225995
2739	0.0038145576
48660	0.004743178
68702	0.024432646
22538	0.011147919
652	0.003545226
16628	0.0048727603
74306	0.006582172
56264	0.0031268056
49318	0.042693872
11349	0.117486745
17041	0.057239555
4003	0.010655672
88902	0.09881033
42643	0.0077167666
78741	0.0038507844
19119	0.014719345
45282	0.0053304047
19055	0.05735301
13237	0.028686019
28302	0.024656642
5214	0.036285497
11175	0.020272806
80476	0.023264896
59155	0.06321584
79867	0.07419946
76397	0.25732952
29194	0.1149438
2350	0.0031273272
82518	0.07537888
12354	0.008319327
31616	0.160172
26793	0.051243953
93712	0.03648975
32115	0.0073993294
66182	0.064227894
64872	0.002857747
54450	0.0039824364
83588	0.028895048
91910	0.015513113
73777	0.007406326
66744	0.005757606
6256	0.0042942385
21478	0.02701852
58539	0.030243108
34128	0.047743578
50510	0.02430772
88285	0.19844364
37567	0.011152131
64169	0.08433557
43508	0.019228993
49224	0.06552347
45538	0.016277391
63090	0.01499424
77075	0.01647546
75651	0.008306346
62381	0.006739258
90378	0.013820103
38222	0.005137205
50812	0.0050945054
73139	0.010761213
15427	0.05144124
47404	0.006701603
87014	0.01476235
7387	0.1347809
63970	0.18799074
99470	0.006236547
1985	0.010662823
12991	0.0035963883
22561	0.010321268
91395	0.011991968
84123	0.016000167
40465	0.007173281
83408	0.0040048193
75483	0.0041102297
53372	0.0050597317
94564	0.0055035786
14559	0.004311649
87999	0.00311746
33634	0.0043682596
35638	0.0046329824
11700	0.012949367
843	0.036623627
49735	0.043562885
30255	0.019466234
39146	0.0066309157
33183	0.07062035
88537	0.006779447
35682	0.18577677
73510	0.013042121
34782	0.023382751
21852	0.021135893
21618	0.18010987
78566	0.0045749214
70291	0.0074626706
85859	0.0073986044
97879	0.033264343
5854	0.0037922305
22306	0.0073192026
76921	0.007588782
56634	0.020726068
56457	0.016118173
45127	0.020598605
61036	0.018778631
87743	0.021472119
42620	0.007910266
70431	0.0037409058
30743	0.004048904
48611	0.0063715866
