USRID	RST
92595	0.008072642
4572	0.012251594
64470	0.027633186
68958	0.06348117
8839	0.015668046
15106	0.010195461
28227	0.008400659
76977	0.027112134
87072	0.08201551
40428	0.035518594
88271	0.035518594
46501	0.13197033
83325	0.1427087
66548	0.029103864
20169	0.016550949
72567	0.010647979
15100	0.108213015
88834	0.018895267
43478	0.06056401
50283	0.05885928
54729	0.1467698
51280	0.012617201
5185	0.26433808
29181	0.13390984
36725	0.038005725
6332	0.037860747
43184	0.012617201
43492	0.027882507
78130	0.053339284
39970	0.03933116
26707	0.012617201
95747	0.012617201
32000	0.0656616
29563	0.0473893
1214	0.06570422
95532	0.013901476
30997	0.012617201
41483	0.011596886
91485	0.0127635915
34268	0.034187984
68362	0.009352642
51303	0.009506237
23150	0.08785076
72173	0.015459032
78361	0.018850889
14681	0.0887506
54870	0.015181475
78692	0.010866489
82177	0.043714575
91667	0.030731464
97707	0.08302587
33785	0.035874676
40002	0.061647926
68601	0.022520607
69208	0.111637
20045	0.032990832
35513	0.09280903
32488	0.08628548
92264	0.015614202
97315	0.015614202
97138	0.008378599
56741	0.14499825
56468	0.047866073
30377	0.011331
75689	0.015614202
5138	0.0131460475
85578	0.028193263
55380	0.01586898
3580	0.016689915
10591	0.21902956
88829	0.057845887
70378	0.010299839
90	0.05696811
93750	0.006051473
65453	0.0042015933
61737	0.01396452
28911	0.0070517818
92138	0.020320404
10685	0.3771232
33571	0.0048444555
49343	0.0121545475
4517	0.0043572467
53438	0.009762556
99859	0.16059002
32053	0.068897806
16232	0.08178886
22891	0.0046790745
74363	0.019408274
94834	0.08287828
65943	0.0016693535
13210	0.042624544
68229	0.0038406006
48566	0.0075196717
65898	0.061208185
30761	0.0056922026
16577	0.09773695
2199	0.0037845224
48444	0.008167837
6383	0.006573765
25720	0.30385196
48748	0.13299316
32834	0.021330362
95341	0.022558874
11303	0.044222433
93680	0.07554715
75640	0.030462945
21824	0.003633008
87863	0.016844511
91529	0.0041632657
83492	0.010192983
31268	0.0076435194
29456	0.005487359
9701	0.006621308
65824	0.04761389
36430	0.003770594
79898	0.13208117
45378	0.0060357507
78550	0.030286713
36893	0.0069989217
75895	0.00393355
88606	0.033743083
7950	0.0044273627
8	0.0102553265
83536	0.015674077
12369	0.0018892032
75596	0.004067199
41788	0.005865589
80986	0.03347931
13796	0.04974422
90765	0.041714706
33061	0.010201858
40589	0.1938884
48944	0.005507224
60974	0.21179041
25143	0.006694157
49038	0.29366475
11531	0.006476545
69194	0.009854526
96410	0.024468428
37292	0.06826539
11498	0.0043922947
21027	0.020112474
43287	0.024122043
35842	0.007874471
70508	0.014503144
58516	0.017409867
7429	0.0035213178
48060	0.039714027
76002	0.015323872
36240	0.084032774
82972	0.11010935
70829	0.034387052
77370	0.0364307
79159	0.013613464
99917	0.020770025
96415	0.011647882
64747	0.06580853
59205	0.0033434264
42001	0.041976225
94042	0.002661524
67719	0.018604865
36941	0.019160718
19611	0.06805743
53929	0.0035281158
64935	0.016610282
62928	0.019461771
44644	0.0037451005
2165	0.008256607
2750	0.0027503686
35075	0.09106157
68184	0.016838131
92660	0.03397742
48242	0.06337785
41021	0.12763365
56158	0.7556173
36729	0.076698266
53368	0.064772956
16696	0.009849991
39160	0.0055160914
57162	0.013952476
94709	0.02720239
99444	0.027893981
65067	0.02425739
76859	0.007064658
46875	0.019295752
82437	0.013074537
11550	0.0060013086
69406	0.05927879
48770	0.2816855
77105	0.019002127
65668	0.0066683814
51565	0.029586308
12791	0.028184041
56302	0.073388666
10490	0.06407315
77007	0.004225333
37917	0.0543605
60045	0.054049112
29380	0.13622652
73443	0.021493154
94660	0.030425198
71287	0.0053911093
31758	0.020733647
94922	0.017734688
28389	0.00833354
21535	0.15982921
35849	0.064532265
9438	0.005172965
49102	0.00445001
26352	0.008452158
90045	0.02365543
13997	0.0022135433
11701	0.015420554
3029	0.4609874
62771	0.0049483147
96766	0.0051671574
38961	0.0039019808
66825	0.006575827
61841	0.0049362844
96999	0.0309441
22004	0.0056163175
89338	0.042855415
88454	0.01291607
61027	0.5781194
94073	0.0023860696
28952	0.0062868334
76570	0.0054090214
11870	0.009139498
666	0.002516695
11447	0.022624208
68500	0.005671398
